[H[2J
  Your application is ready~! 🚀

  - Local:      http://0.0.0.0:3001
  - Network:    http://172.17.0.2:3001

 LOGS 

  [06:57:52] 200 ─ 2.85ms ─ /
  [06:57:55] 200 ─ 0.68ms ─ /content-enrichment
  [06:57:58] 200 ─ 0.90ms ─ /locales/en/translation.json
  [06:58:07] 200 ─ 0.59ms ─ /
  [06:58:07] 200 ─ 1.19ms ─ /assets/manifest-132b39f0.js
  [06:58:07] 200 ─ 2.23ms ─ /assets/index-yKbcr7Pf.js
  [06:58:07] 200 ─ 2.89ms ─ /assets/react-redux-B5osdedR.js
  [06:58:07] 200 ─ 3.81ms ─ /assets/chunk-C37GKA54-CBbYr_fP.js
  [06:58:07] 200 ─ 4.55ms ─ /assets/entry.client-VFLPI5E5.js
  [06:58:07] 200 ─ 4.92ms ─ /assets/module-5laXsVNO.js
  [06:58:07] 200 ─ 5.27ms ─ /assets/root-B4FjYe_V.css
  [06:58:07] 200 ─ 0.79ms ─ /assets/index-DbrbOxWj.js
  [06:58:07] 200 ─ 0.96ms ─ /assets/open-hands-axios-CtirLpss.js
  [06:58:07] 200 ─ 0.52ms ─ /assets/store-Bya9Reqe.js
  [06:58:07] 200 ─ 0.17ms ─ /assets/open-hands-Ce72Fmtl.js
  [06:58:07] 200 ─ 0.31ms ─ /assets/custom-toast-handlers-CR9P-jKI.js
  [06:58:07] 200 ─ 0.69ms ─ /assets/query-client-config-CJn-5u6A.js
  [06:58:07] 200 ─ 1.41ms ─ /assets/i18next-CO45VQzB.js
  [06:58:07] 200 ─ 2.03ms ─ /assets/preload-helper-BXl3LOEh.js
  [06:58:07] 200 ─ 2.75ms ─ /assets/i18nInstance-DBIXdvxg.js
  [06:58:07] 200 ─ 0.78ms ─ /assets/agent-state-CFaY3go2.js
  [06:58:07] 200 ─ 0.96ms ─ /assets/retrieve-axios-error-message-CYr77e_f.js
  [06:58:07] 200 ─ 1.06ms ─ /assets/mutation-B9dSlWD-.js
  [06:58:07] 200 ─ 1.95ms ─ /assets/declaration-xyc84-tJ.js
  [06:58:07] 200 ─ 2.20ms ─ /assets/index-cxP66Ws3.js
  [06:58:07] 200 ─ 0.11ms ─ /assets/browser-slice-DabBaamq.js
  [06:58:07] 200 ─ 0.56ms ─ /assets/root-Cm8RR6en.js
  [06:58:08] 404 ─ 0.09ms ─ /locales/en-US@posix/translation.json
  [06:58:08] 200 ─ 0.62ms ─ /locales/en/translation.json
  [06:58:08] 200 ─ 0.65ms ─ /assets/home-BFU5UmRD.js
  [06:58:08] 200 ─ 0.86ms ─ /assets/root-layout-DkXUOEqL.js
  [06:58:08] 200 ─ 0.50ms ─ /api/options/config
  [06:58:08] 200 ─ 0.61ms ─ /assets/use-create-conversation-IQqGjJUl.js
  [06:58:08] 200 ─ 0.60ms ─ /assets/brand-button-3Z8FN4qR.js
  [06:58:08] 200 ─ 0.59ms ─ /assets/useTranslation-BG59QWH_.js
